name,rest_type,rate,num_ratings,avg_cost,online_order,table_booking,cuisines,area,local_address,area_clean,is_quick_bites,is_casual_dining,is_cafe,is_delivery,is_dessert_parlor,is_bakery,is_beverage_shop,is_bar,is_food_court,is_fine_dining,is_lounge,is_mess,is_sweet_shop,is_pub,area_avg_rating,area_avg_cost,competition_density
Hotel Manu,Quick Bites,3.8,341,400,Yes,No,"South Indian, Kerala, Chinese, North Indian",Koramangala 4th Block,HSR,Koramangala 4th Block,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5160493827160497,561.6666666666666,54
Hotel Manu Residency,Casual Dining,3.8,201,550,Yes,No,"Andhra, North Indian, Chinese, Biryani",Whitefield,Whitefield,Whitefield,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.512260536398468,694.4444444444445,62
Hotel Marina,Quick Bites,2.8,26,400,No,No,"North Indian, Chinese, South Indian",Koramangala 4th Block,Koramangala 6th Block,Koramangala 4th Block,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5160493827160497,561.6666666666666,54
Hotel Masthi Kabab,Quick Bites,3.1,9,300,No,No,"North Indian, Chinese",Bellandur,Bellandur,Bellandur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4759002770083103,542.7423822714682,118
Hotel Masti,Delivery,2.8,25,300,Yes,No,"North Indian, Biryani, Chinese",Electronic City,Electronic City,Electronic City,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3635235732009927,511.04218362282876,11
Hotel Meed Cafe,Quick Bites,3.2,5,250,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",BTM,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Metropole,Quick Bites,2.9,18,400,No,No,"North Indian, Chinese, South Indian",Brigade Road,Shivajinagar,Brigade Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6842672413793105,835.1077586206897,117
Hotel Mirchi Red,Quick Bites,3.0,32,400,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Moonlight,Casual Dining,3.9,115,500,No,No,"Chinese, North Indian",Malleshwaram,Malleshwaram,Malleshwaram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,100
Hotel Nalapaka,Casual Dining,4.3,678,400,No,No,South Indian,Malleshwaram,Rajajinagar,Malleshwaram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,100
Hotel Narmada,Quick Bites,2.8,40,500,Yes,No,"Hyderabadi, Biryani, Andhra",HSR,Sarjapur Road,HSR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3763485477178423,456.05809128630705,104
Hotel Narmada Andhra Style,Quick Bites,3.4,5,400,No,No,"Andhra, South Indian",Sarjapur Road,Sarjapur Road,Sarjapur Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4453703703703704,470.8333333333333,52
Hotel New Karavali,"Casual Dining, Bar",3.4,8,550,Yes,No,"Chinese, Mangalorean, Seafood, North Indian",Kalyan Nagar,Hennur,Kalyan Nagar,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.49375,478.0729166666667,5
Hotel New Panchavati,Casual Dining,3.6,121,600,Yes,No,"North Indian, Chinese, Biryani, South Indian",Rajajinagar,Vijay Nagar,Rajajinagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4486486486486485,407.2972972972973,24
Hotel Nisarga,Quick Bites,3.2,5,250,No,No,"North Indian, South Indian",Banashankari,Banashankari,Banashankari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5688022284122565,388.5487465181059,191
Hotel Nisarga Grand,Casual Dining,3.6,31,500,No,No,"South Indian, North Indian, Chinese",Church Street,City Market,Church Street,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.606493506493506,740.2597402597403,20
Hotel Nisarga Restaurant,Quick Bites,3.2,6,300,No,No,"Chinese, North Indian",Whitefield,Whitefield,Whitefield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.512260536398468,694.4444444444445,91
Hotel NLC Grand,Quick Bites,2.8,40,300,No,No,"Biryani, South Indian, North Indian",Marathahalli,Marathahalli,Marathahalli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4076923076923076,516.7307692307693,116
Hotel Oottupura,Quick Bites,3.6,21,200,No,No,South Indian,Koramangala 4th Block,Ejipura,Koramangala 4th Block,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5160493827160497,561.6666666666666,54
Hotel Orchid,Casual Dining,0.0,40,500,No,No,"North Indian, South Indian, Chinese, Kerala",Koramangala 6th Block,BTM,Koramangala 6th Block,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.356338028169014,380.28169014084506,6
Hotel Palace,Quick Bites,3.7,24,250,Yes,No,"Biryani, Chinese","Byresandra,Tavarekere,Madiwala",HSR,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Panchami Grand,Casual Dining,3.5,15,550,No,No,"Chinese, North Indian, South Indian",New BEL Road,New BEL Road,New BEL Road,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4773809523809525,438.0952380952381,34
Hotel Paradise,Quick Bites,3.3,5,200,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Jayanagar,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Parampare,Casual Dining,2.9,13,600,Yes,No,"North Indian, Mughlai, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Madiwala,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,168
